Question,Subject,Answer
1,1,We're careful about orange ping pong balls because people might think they're fruit.
1,2,He found a leprechaun in his walnut shell.
1,3,The stranger officiates the meal.
1,4,He decided to fake his disappearance to avoid jail.
1,5,The best key lime pie is still up for debate.
1,6,There are few things better in life than a slice of pie.
1,7,"The secret code they created made no sense, even to them."
1,8,The skeleton had skeletons of his own in the closet.
1,9,There were three sphered rocks congregating in a cubed room.
1,10,The tattered work gloves speak of the many hours of hard labor he endured throughout his life.
1,11,He felt that dining on the bridge brought romance to his relationship with his cat.
1,12,Be careful with that butter knife.
1,13,Jim liked driving around town with his hazard lights on.
1,14,The father handed each child a roadmap at the beginning of the 2-day road trip and explained it was so they could find their way home.
1,15,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.
1,16,The father died during childbirth.
1,17,They ran around the corner to find that they had traveled back in time.
1,18,Waffles are always better without fire ants and fleas.
1,19,Please wait outside of the house.
1,20,This is a Japanese doll.
1,21,"If any cop asks you where you were, just say you were visiting Kansas."
1,22,"When motorists sped in and out of traffic, all she could think of was those in need of a transplant."
1,23,It caught him off guard that space smelled of seared steak.
1,24,The book is in front of the table.
1,25,"Green should have smelled more tranquil, but somehow it just tasted rotten."
1,26,They did nothing as the raccoon attacked the lady’s bag of food.
1,27,Chocolate covered crickets were his favorite snack.
1,28,Swim at your own risk was taken as a challenge for the group of Kansas City college students.
1,29,Siri became confused when we reused to follow her directions.
1,30,The door slammed on the watermelon.
1,31,I've traveled all around Africa and still haven't found the gnu who stole my scarf.
1,32,The white water rafting trip was suddenly halted by the unexpected brick wall.
1,33,I honestly find her about as intimidating as a basket of kittens.
1,34,Beach-combing replaced wine tasting as his new obsession.
1,35,I made myself a peanut butter sandwich as I didn't want to subsist on veggie crackers.
1,36,You've been eyeing me all day and waiting for your move like a lion stalking a gazelle in a savannah.
1,37,That must be the tenth time I've been arrested for selling deep-fried cigars.
1,38,The sudden rainstorm washed crocodiles into the ocean.
1,39,He had a wall full of masks so she could wear a different face every day.
1,40,He appeared to be confusingly perplexed.
1,41,Check back tomorrow; I will see if the book has arrived.
1,42,The green tea and avocado smoothie turned out exactly as would be expected.
1,43,It had been sixteen days since the zombies first attacked.
1,44,"Honestly, I didn't care much for the first season, so I didn't bother with the second."
1,45,Jerry liked to look at paintings while eating garlic ice cream.
1,46,The bees decided to have a mutiny against their queen.
1,47,"All she wanted was the answer, but she had no idea how much she would hate it."
1,48,He created a pig burger out of beef.
1,49,The Great Dane looked more like a horse than a dog.
1,50,8% of 25 is the same as 25% of 8 and one of them is much easier to do in your head.
2,1,Situps are a terrible way to end your day.
2,2,This is the last random sentence I will be writing and I am going to stop mid-sent
2,3,"Honestly, I didn't care much for the first season, so I didn't bother with the second."
2,4,Her fragrance of choice was fresh garlic.
2,5,It's not possible to convince a monkey to give you a banana by promising it infinite bananas when they die.
2,6,I just wanted to tell you I could see the love you have for your child by the way you look at her.
2,7,Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.
2,8,Everybody should read Chaucer to improve their everyday vocabulary.
2,9,"He wore the surgical mask in public not to keep from catching a virus, but to keep people away from him."
2,10,Karen believed all traffic laws should be obeyed by all except herself.
2,11,"When motorists sped in and out of traffic, all she could think of was those in need of a transplant."
2,12,Whenever he saw a red flag warning at the beach he grabbed his surfboard.
2,13,"It took him a while to realize that everything he decided not to change, he was actually choosing."
2,14,Doris enjoyed tapping her nails on the table to annoy everyone.
2,15,The light in his life was actually a fire burning all around him.
2,16,Art doesn't have to be intentional.
2,17,Waffles are always better without fire ants and fleas.
2,18,Nobody questions who built the pyramids in Mexico.
2,19,Swim at your own risk was taken as a challenge for the group of Kansas City college students.
2,20,"I'm not a party animal, but I do like animal parties."
2,21,The trick to getting kids to eat anything is to put catchup on it.
2,22,"Peanuts don't grow on trees, but cashews do."
2,23,"He learned the hardest lesson of his life and had the scars, both physical and mental, to prove it."
2,24,"As the rental car rolled to a stop on the dark road, her fear increased by the moment."
2,25,"When nobody is around, the trees gossip about the people who have walked under them."
2,26,I always dreamed about being stranded on a desert island until it actually happened.
2,27,He liked to play with words in the bathtub.
2,28,Happiness can be found in the depths of chocolate pudding.
2,29,She looked at the masterpiece hanging in the museum but all she could think is that her five-year-old could do better.
2,30,She wondered what his eyes were saying beneath his mirrored sunglasses.
2,31,Wisdom is easily acquired when hiding under the bed with a saucepan on your head.
2,32,"As time wore on, simple dog commands turned into full paragraphs explaining why the dog couldn’t do something."
2,33,Random words in front of other random words create a random sentence.
2,34,The snow-covered path was no help in finding his way out of the back-country.
2,35,"He ran out of money, so he had to stop playing poker."
2,36,Don't step on the broken glass.
2,37,The waves were crashing on the shore; it was a lovely sight.
2,38,"It was obvious she was hot, sweaty, and tired."
2,39,It's always a good idea to seek shelter from the evil gaze of the sun.
2,40,The river stole the gods.
2,41,Malls are great places to shop; I can find everything I need under one roof.
2,42,"If you like tuna and tomato sauce, try combining the two, it’s really not as bad as it sounds."
2,43,"There's an art to getting your way, and spitting olive pits across the table isn't it."
2,44,She only paints with bold colors; she does not like pastels.
2,45,"Red is greener than purple, for sure."
2,46,Karen realized the only way she was getting into heaven was to cheat.
2,47,"I used to live in my neighbor's fishpond, but the aesthetic wasn't to my taste."
2,48,As he dangled from the rope deep inside the crevasse
2,49,Watching the geriatric men’s softball team brought back memories of 3 yr olds playing t-ball.
2,50,The knives were out and she was sharpening hers.
3,1,He drank life before spitting it out.
3,2,Getting up at dawn is for the birds.
3,3,His son quipped that power bars were nothing more than adult candy bars.
3,4,Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.
3,5,"I think I will buy the red car, or I will lease the blue one."
3,6,Strawberries must be the one food that doesn't go well with this brand of paint.
3,7,The elephant didn't want to talk about the person in the room.
3,8,"He wore the surgical mask in public not to keep from catching a virus, but to keep people away from him."
3,9,It caught him off guard that space smelled of seared steak.
3,10,"As the years pass by, we all know owners look more and more like their dogs."
3,11,She always had an interesting perspective on why the world must be flat.
3,12,At last
3,13,"I would have gotten the promotion, but my attendance wasn’t good enough."
3,14,"Mary realized if her calculator had a history, it would be more embarrassing than her computer browser history."
3,15,They finished building the road they knew no one would ever use.
3,16,The tortoise jumped into the lake with dreams of becoming a sea turtle.
3,17,"It took him a while to realize that everything he decided not to change, he was actually choosing."
3,18,She found his complete dullness interesting.
3,19,Most shark attacks occur about 10 feet from the beach since that's where the people are.
3,20,I ate a sock because people on the Internet told me to.
3,21,As he dangled from the rope deep inside the crevasse
3,22,The memory we used to share is no longer coherent.
3,23,After coating myself in vegetable oil I found my success rate skyrocketed.
3,24,The murder hornet was disappointed by the preconceived ideas people had of him.
3,25,"As the asteroid hurtled toward earth, Becky was upset her dentist appointment had been canceled."
3,26,The old rusted farm equipment surrounded the house predicting its demise.
3,27,The most exciting eureka moment I've had was when I realized that the instructions on food packets were just guidelines.
3,28,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it."
3,29,The beach was crowded with snow leopards.
3,30,This is the last random sentence I will be writing and I am going to stop mid-sent
3,31,Plans for this weekend include turning wine into water.
3,32,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.
3,33,"When he encountered maize for the first time, he thought it incredibly corny."
3,34,The estate agent quickly marked out his territory on the dance floor.
3,35,He uses onomatopoeia as a weapon of mental destruction.
3,36,"Italy is my favorite country; in fact, I plan to spend two weeks there next year."
3,37,Everything was going so well until I was accosted by a purple giraffe.
3,38,I always dreamed about being stranded on a desert island until it actually happened.
3,39,I only enjoy window shopping when the windows are transparent.
3,40,He invested some skill points in Charisma and Strength.
3,41,"If eating three-egg omelets causes weight-gain, budgie eggs are a good substitute."
3,42,Best friends are like old tomatoes and shoelaces.
3,43,A glittering gem is not enough.
3,44,"When he asked her favorite number, she answered without hesitation that it was diamonds."
3,45,The complicated school homework left the parents trying to help their kids quite confused.
3,46,"With a single flip of the coin, his life changed forever."
3,47,Please tell me you don't work in a morgue.
3,48,"Tomorrow will bring something new, so leave today as a memory."
3,49,He quietly entered the museum as the super bowl started.
3,50,He stomped on his fruit loops and thus became a cereal killer.
4,1,Strawberries must be the one food that doesn't go well with this brand of paint.
4,2,Nobody questions who built the pyramids in Mexico.
